Pin,Unit,Type,Name
T17,DRAM,,SA0
U18,DRAM,,SA1
V19,DRAM,,SA2
V20,DRAM,,SA3
V21,DRAM,,SA4
Y19,DRAM,,SA5
Y20,DRAM,,SA6
V15,DRAM,,SA7
W18,DRAM,,SA8
Y18,DRAM,,SA9
P19,DRAM,,SA10
N19,DRAM,,SA11
R18,DRAM,,SA12
V12,DRAM,,SA13
N17,DRAM,,SA14
R17,DRAM,,SA15
W17,DRAM,,SBA0
T18,DRAM,,SBA1
V17,DRAM,,SBA2
U15,DRAM,,SCAS
AA19,DRAM,,SCK
AA20,DRAM,,SCKB
AA21,DRAM,,SCKE0
Y21,DRAM,,SCKE1
W20,DRAM,,SCS0
W21,DRAM,,SCS1
W11,DRAM,,SODT0
V11,DRAM,,SODT1
N20,DRAM,,SDQ0
P21,DRAM,,SDQ1
P20,DRAM,,SDQ2
U21,DRAM,,SDQ3
R19,DRAM,,SDQ4
T20,DRAM,,SDQ5
U19,DRAM,,SDQ6
U20,DRAM,,SDQ7
J19,DRAM,,SDQ8
H20,DRAM,,SDQ9
H21,DRAM,,SDQ10
J21,DRAM,,SDQ11
L20,DRAM,,SDQ12
L21,DRAM,,SDQ13
M21,DRAM,,SDQ14
M19,DRAM,,SDQ15
Y17,DRAM,,SDQ16
AA17,DRAM,,SDQ17
Y16,DRAM,,SDQ18
W15,DRAM,,SDQ19
Y14,DRAM,,SDQ20
AA14,DRAM,,SDQ21
Y13,DRAM,,SDQ22
Y12,DRAM,,SDQ23
W12,DRAM,,SDQ24
AA11,DRAM,,SDQ25
Y11,DRAM,,SDQ26
Y10,DRAM,,SDQ27
W9,DRAM,,SDQ28
AA8,DRAM,,SDQ29
Y8,DRAM,,SDQ30
Y7,DRAM,,SDQ31
M20,DRAM,,SDQM0
G20,DRAM,,SDQM1
AA18,DRAM,,SDQM2
AA12,DRAM,,SDQM3
R20,DRAM,,SDQS0
R21,DRAM,,SDQS0B
K20,DRAM,,SDQS1
J20,DRAM,,SDQS1B
AA15,DRAM,,SDQS2
Y15,DRAM,,SDQS2B
AA9,DRAM,,SDQS3
Y9,DRAM,,SDQS3B
V13,DRAM,,SRAS
U16,DRAM,,SRST
T16,DRAM,,SVREF
W13,DRAM,,SWE
V10,DRAM,,SZQ
L16,DRAM,,VCC-DRAM
M16,DRAM,,VCC-DRAM
N16,DRAM,,VCC-DRAM
P16,DRAM,,VCC-DRAM
P17,DRAM,,VCC-DRAM
R16,DRAM,,VCC-DRAM
T12,DRAM,,VCC-DRAM
T13,DRAM,,VCC-DRAM
T14,DRAM,,VCC-DRAM
T15,DRAM,,VCC-DRAM
U11,DRAM,,VCC-DRAM
D11,GPIOA,,PA0
D5,GPIOA,,PA1
D6,GPIOA,,PA2
E13,GPIOA,,PA3
F5,GPIOA,,PA4
H6,GPIOA,,PA5
E14,GPIOA,,PA6
D8,GPIOA,,PA7
F13,GPIOA,,PA8
D13,GPIOA,,PA9
E11,GPIOA,,PA10
F11,GPIOA,,PA11
C13,GPIOA,,PA12
E15,GPIOA,,PA13
G12,GPIOA,,PA14
F14,GPIOA,,PA15
D15,GPIOA,,PA16
C14,GPIOA,,PA17
B13,GPIOA,,PA18
B14,GPIOA,,PA19
A13,GPIOA,,PA20
A14,GPIOA,,PA21
C15,GPIOC,,PC0
C16,GPIOC,,PC1
B16,GPIOC,,PC2
B15,GPIOC,,PC3
F16,GPIOC,,PC4
A17,GPIOC,,PC5
E16,GPIOC,,PC6
A16,GPIOC,,PC7
B18,GPIOC,,PC8
C17,GPIOC,,PC9
D17,GPIOC,,PC10
C18,GPIOC,,PC11
B17,GPIOC,,PC12
B19,GPIOC,,PC13
F17,GPIOC,,PC14
C19,GPIOC,,PC15
H16,GPIOC,,PC16
G15,GPIOC,,VCC-PC
C21,GPIOD,,PD0
H17,GPIOD,,PD1
B20,GPIOD,,PD2
H18,GPIOD,,PD3
A20,GPIOD,,PD4
F19,GPIOD,,PD5
B21,GPIOD,,PD6
E18,GPIOD,,PD7
E20,GPIOD,,PD8
F21,GPIOD,,PD9
H19,GPIOD,,PD10
F20,GPIOD,,PD11
E19,GPIOD,,PD12
K17,GPIOD,,PD13
L17,GPIOD,,PD14
K18,GPIOD,,PD15
L18,GPIOD,,PD16
L19,GPIOD,,PD17
J15,GPIOD,,VCC-PD
B10,GPIOE,,PE0
A10,GPIOE,,PE1
B11,GPIOE,,PE2
C10,GPIOE,,PE3
C9,GPIOE,,PE4
E10,GPIOE,,PE5
D10,GPIOE,,PE6
C8,GPIOE,,PE7
C11,GPIOE,,PE8
C12,GPIOE,,PE9
E8,GPIOE,,PE10
A11,GPIOE,,PE11
B12,GPIOE,,PE12
C7,GPIOE,,PE13
C6,GPIOE,,PE14
C5,GPIOE,,PE15
D19,GPIOF,,PF0
A19,GPIOF,,PF1
D20,GPIOF,,PF2
F18,GPIOF,,PF3
E21,GPIOF,,PF4
C20,GPIOF,,PF5
G18,GPIOF,,PF6
J3,GPIOG,,PG0
L2,GPIOG,,PG1
H4,GPIOG,,PG2
F3,GPIOG,,PG3
C2,GPIOG,,PG4
C1,GPIOG,,PG5
G4,GPIOG,,PG6
D3,GPIOG,,PG7
C3,GPIOG,,PG8
E3,GPIOG,,PG9
M3,GPIOG,,PG10
D2,GPIOG,,PG11
D1,GPIOG,,PG12
B1,GPIOG,,PG13
H7,GPIOG,,VCC-PG
N1,GPIOL,,PL0
M1,GPIOL,,PL1
P2,GPIOL,,PL2
R1,GPIOL,,PL3
N2,GPIOL,,PL4
R2,GPIOL,,PL5
T4,GPIOL,,PL6
T3,GPIOL,,PL7
T2,GPIOL,,PL8
M6,GPIOL,,PL9
V2,GPIOL,,PL10
U2,GPIOL,,PL11
AA6,SYSTEM,,NMI
V6,SYSTEM,,RESET
T5,SYSTEM,,TEST
W6,SYSTEM,,UBOOT
A1,SYSTEM,,JTAG-SEL0
B2,SYSTEM,,JTAG-SEL1
AA5,ADC,,KEYADC
F10,TV_OUT,,TVOUT
G9,TV_OUT,,V33-TV
A2,EPHY,,EPHY-LINK-LED
F7,EPHY,,EPHY-SPD-LED
F6,EPHY,,EPHY-RTX
A4,EPHY,,EPHY-RXN
B4,EPHY,,EPHY-RXP
A3,EPHY,,EPHY-TXN
B3,EPHY,,EPHY-TXP
G7,EPHY,,EPHY-VCC
F8,EPHY,,EPHY-VDD
G5,HDMI,,HCEC
M2,HDMI,,HHPD
H3,HDMI,,HSCL
K3,HDMI,,HSDA
G1,HDMI,,HTX0P
F1,HDMI,,HTX0N
H2,HDMI,,HTXIP
G2,HDMI,,HTX1N
J1,HDMI,,HTX2P
J2,HDMI,,HTX2N
F2,HDMI,,HTXCP
E2,HDMI,,HTXCN
J6,HDMI,,HVCC
B5,USB,,USB-DM0
A5,USB,,USB-DP0
B7,USB,,USB-DM1
B6,USB,,USB-DP1
A8,USB,,USB-DM2
A7,USB,,USB-DP2
B9,USB,,USB-DM3
B8,USB,,USB-DP3
G11,USB,,VCC-USB
U3,AUDIO_CODEC,,AGND
V3,AUDIO_CODEC,,AVCC
W1,AUDIO_CODEC,,LINEINR
V1,AUDIO_CODEC,,LINEINL
Y3,AUDIO_CODEC,,LINEOUTR
AA3,AUDIO_CODEC,,LINEOUTL
W3,AUDIO_CODEC,,MBIAS
Y1,AUDIO_CODEC,,MICIN1N
W2,AUDIO_CODEC,,MICIN1P
AA2,AUDIO_CODEC,,MICIN2N
Y2,AUDIO_CODEC,,MICIN2P
Y4,AUDIO_CODEC,,VRA1
W5,AUDIO_CODEC,,VRA2
V4,AUDIO_CODEC,,VRP
V5,CLOCK,,X32KIN
U4,CLOCK,,X32KOUT
P3,CLOCK,,X32KFOUT
M4,CLOCK,,RTC-VIO
K6,CLOCK,,VCC-RTC
K2,CLOCK,,X24MIN
K1,CLOCK,,X24MOUT
K4,CLOCK,,X24MFOUT
L5,CLOCK,,PLLTEST
N3,CLOCK,,VCC-PLL
G10,EFUSE,,VDD-EFUSE
H11,EFUSE,,VDD-EFUSEBP
J12,POWER,,VDD-GPUFB
N8,POWER,,VDD-CPUX
P6,POWER,,VDD-CPUX
P7,POWER,,VDD-CPUX
P8,POWER,,VDD-CPUX
P9,POWER,,VDD-CPUX
R6,POWER,,VDD-CPUX
R7,POWER,,VDD-CPUX
R8,POWER,,VDD-CPUX
T6,POWER,,VDD-CPUX
T7,POWER,,VDD-CPUX
T8,POWER,,VDD-CPUX
U6,POWER,,VDD-CPUX
U9,POWER,,VDD-CPUX
J7,POWER,,VDD-CPUS
J8,POWER,,VDD-CPUS
H10,POWER,,VDD-SYS
J10,POWER,,VDD-SYS
J11,POWER,,VDD-SYS
K10,POWER,,VDD-SYS
K11,POWER,,VDD-SYS
K12,POWER,,VDD-SYS
L10,POWER,,VDD-SYS
L11,POWER,,VDD-SYS
L12,POWER,,VDD-SYS
L13,POWER,,VDD-SYS
L14,POWER,,VDD-SYS
G13,POWER,,VCC-IO
G14,POWER,,VCC-IO
H13,POWER,,VCC-IO
H14,POWER,,VCC-IO
J14,POWER,,VCC-IO
A21,GROUND,,GND
AA1,GROUND,,GND
G8,GROUND,,GND
H12,GROUND,,GND
H15,GROUND,,GND
H8,GROUND,,GND
J13,GROUND,,GND
J16,GROUND,,GND
J9,GROUND,,GND
K13,GROUND,,GND
K14,GROUND,,GND
K15,GROUND,,GND
K16,GROUND,,GND
K7,GROUND,,GND
K8,GROUND,,GND
K9,GROUND,,GND
L15,GROUND,,GND
L8,GROUND,,GND
L9,GROUND,,GND
M10,GROUND,,GND
M11,GROUND,,GND
M12,GROUND,,GND
M13,GROUND,,GND
M14,GROUND,,GND
M15,GROUND,,GND
M5,GROUND,,GND
M7,GROUND,,GND
M8,GROUND,,GND
M9,GROUND,,GND
N10,GROUND,,GND
N11,GROUND,,GND
N12,GROUND,,GND
N13,GROUND,,GND
N14,GROUND,,GND
N15,GROUND,,GND
N7,GROUND,,GND
N9,GROUND,,GND
P10,GROUND,,GND
P11,GROUND,,GND
P12,GROUND,,GND
P13,GROUND,,GND
P14,GROUND,,GND
P15,GROUND,,GND
R10,GROUND,,GND
R11,GROUND,,GND
R12,GROUND,,GND
R13,GROUND,,GND
R14,GROUND,,GND
R9,GROUND,,GND
T11,GROUND,,GND
T9,GROUND,,GND
